URL, Number of Outlinks 

https://www2.calstate.edu/attend/student-services/Pages/default.aspx, 140
https://www2.calstate.edu/attend/transfer/Pages/default.aspx, 115
https://www2.calstate.edu/attend/campuses/Pages/default.aspx, 229
https://www2.calstate.edu/attend/freshman/Pages/default.aspx, 113
https://www2.calstate.edu/attend/graduate/Pages/default.aspx, 111
https://www2.calstate.edu/attend/degrees-certificates-credentials/Pages/default.aspx, 117
https://www2.calstate.edu/attend/paying-for-college/Pages/default.aspx, 109
https://www2.calstate.edu/apply, 130
https://www2.calstate.edu/attend/admissions/Pages/default.aspx, 116
https://www2.calstate.edu/attend/international/Pages/default.aspx, 120
